Wo,Tag,Datum,Uhrzeit,Heim,Ergebnis,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
34,Sat,2023-05-20,18:00,FC Winterthur,,Servette FC,,Stadion Schützenwiese,,Head-to-Head,
34,Sat,2023-05-20,20:30,Luzern,,St. Gallen,,swissporarena,,Head-to-Head,
34,Sun,2023-05-21,14:15,Sion,,Young Boys,,Stade de Tourbillon,,Head-to-Head,
34,Sun,2023-05-21,16:30,Basel,,Lugano,,St. Jakob-Park,,Head-to-Head,
34,Sun,2023-05-21,16:30,Zürich,,Grasshopper,,Stadion Letzigrund,,Head-to-Head,
