Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
Lausanne,FC Basel 1893,,2023-10-29 13:15:00,,,
FC Lugano,BSC Young Boys,,2023-10-29 15:30:00,,,
Servette FC,FC Luzern,,2023-10-29 15:30:00,,,
FC ST. Gallen,Grasshoppers,,2023-10-28 16:00:00,,,
Yverdon Sport,FC Winterthur,,2023-10-28 16:00:00,,,
FC Zurich,Stade Lausanne-Ouchy,,2023-10-28 18:30:00,,,
