Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
FC Luzern,BSC Young Boys,"[3, 4]",2021-07-24 16:00:00,0,1,0
Lausanne,FC ST. Gallen,"[1, 2]",2021-07-24 18:30:00,0,1,0
FC Lugano,FC Zurich,"[0, 2]",2021-07-25 12:15:00,0,1,0
Grasshoppers,FC Basel 1893,"[0, 2]",2021-07-25 14:30:00,0,1,0
FC Sion,Servette FC,"[1, 2]",2021-07-25 14:30:00,0,1,0
FC Zurich,Lausanne,"[3, 1]",2021-07-31 16:00:00,1,0,0
BSC Young Boys,Grasshoppers,"[0, 0]",2021-07-31 18:30:00,0,0,1
FC ST. Gallen,FC Luzern,"[2, 2]",2021-08-01 12:15:00,0,0,1
FC Basel 1893,FC Sion,"[6, 1]",2021-08-01 14:30:00,1,0,0
Servette FC,FC Lugano,"[0, 2]",2021-08-01 14:30:00,0,1,0
FC Sion,BSC Young Boys,"[1, 0]",2021-08-07 16:00:00,1,0,0
Grasshoppers,Lausanne,"[3, 1]",2021-08-07 18:30:00,1,0,0
FC Lugano,FC ST. Gallen,"[2, 1]",2021-08-08 12:15:00,1,0,0
FC Basel 1893,Servette FC,"[5, 1]",2021-08-08 14:30:00,1,0,0
FC Luzern,FC Zurich,"[1, 3]",2021-08-08 14:30:00,0,1,0
BSC Young Boys,FC Lugano,"[3, 1]",2021-12-01 19:30:00,1,0,0
FC ST. Gallen,FC Sion,"[1, 1]",2021-08-21 18:30:00,0,0,1
Lausanne,FC Basel 1893,"[2, 2]",2021-08-22 12:15:00,0,0,1
FC Zurich,Grasshoppers,"[2, 1]",2021-08-21 16:00:00,1,0,0
Servette FC,FC Luzern,"[4, 1]",2021-08-22 14:30:00,1,0,0
FC ST. Gallen,FC Zurich,"[3, 3]",2021-08-28 16:00:00,0,0,1
FC Sion,FC Lugano,"[3, 2]",2021-08-28 18:30:00,1,0,0
FC Luzern,Lausanne,"[1, 1]",2021-08-29 12:15:00,0,0,1
FC Basel 1893,BSC Young Boys,"[1, 1]",2021-08-29 14:30:00,0,0,1
Grasshoppers,Servette FC,"[1, 1]",2021-08-29 14:30:00,0,0,1
FC Luzern,Grasshoppers,"[1, 1]",2021-09-11 16:00:00,0,0,1
