Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
BSC Young Boys,FC Zurich,"[4, 0]",2021-09-11 18:30:00,1,0,0
Servette FC,FC ST. Gallen,"[5, 1]",2021-09-12 12:15:00,1,0,0
Lausanne,FC Sion,"[1, 1]",2021-09-12 14:30:00,0,0,1
FC Lugano,FC Basel 1893,"[1, 1]",2021-09-12 14:30:00,0,0,1
FC Zurich,Servette FC,"[2, 2]",2021-09-21 18:30:00,0,0,1
Lausanne,BSC Young Boys,"[1, 6]",2021-09-22 16:00:00,0,1,0
FC ST. Gallen,FC Basel 1893,"[0, 2]",2021-09-22 18:30:00,0,1,0
FC Lugano,Grasshoppers,"[1, 1]",2021-09-23 18:30:00,0,0,1
FC Sion,FC Luzern,"[1, 1]",2021-09-23 18:30:00,0,0,1
BSC Young Boys,FC ST. Gallen,"[2, 1]",2021-09-25 16:00:00,1,0,0
Servette FC,Lausanne,"[1, 1]",2021-09-25 18:30:00,0,0,1
FC Luzern,FC Lugano,"[2, 3]",2021-09-26 12:15:00,0,1,0
FC Basel 1893,FC Zurich,"[3, 1]",2021-09-26 14:30:00,1,0,0
Grasshoppers,FC Sion,"[3, 1]",2021-09-26 14:30:00,1,0,0
Grasshoppers,FC ST. Gallen,"[5, 2]",2021-10-02 16:00:00,1,0,0
FC Lugano,Lausanne,"[2, 0]",2021-10-02 18:30:00,1,0,0
FC Zurich,FC Sion,"[6, 2]",2021-10-03 12:15:00,1,0,0
FC Basel 1893,FC Luzern,"[1, 1]",2021-10-03 14:30:00,0,0,1
Servette FC,BSC Young Boys,"[0, 6]",2021-10-03 14:30:00,0,1,0
Lausanne,Grasshoppers,"[3, 1]",2021-10-17 12:15:00,1,0,0
FC Sion,FC Basel 1893,"[0, 1]",2021-10-17 14:30:00,0,1,0
FC ST. Gallen,Servette FC,"[2, 1]",2021-10-17 14:30:00,1,0,0
BSC Young Boys,FC Luzern,"[1, 1]",2021-10-16 16:00:00,0,0,1
FC Zurich,FC Lugano,"[1, 0]",2021-10-16 18:30:00,1,0,0
FC Basel 1893,FC Lugano,"[2, 0]",2021-10-24 14:30:00,1,0,0
Grasshoppers,FC Zurich,"[3, 3]",2021-10-23 18:30:00,0,0,1
FC Luzern,FC ST. Gallen,"[2, 0]",2021-10-24 12:15:00,1,0,0
Servette FC,FC Sion,"[1, 2]",2021-10-24 14:30:00,0,1,0
BSC Young Boys,Lausanne,"[3, 2]",2021-10-23 16:00:00,1,0,0
Lausanne,FC Luzern,"[1, 1]",2021-10-31 15:30:00,0,0,1
FC Lugano,Servette FC,"[2, 1]",2021-10-31 15:30:00,1,0,0
FC Sion,Grasshoppers,"[1, 3]",2021-10-31 13:15:00,0,1,0
FC ST. Gallen,BSC Young Boys,"[3, 1]",2021-10-30 16:00:00,1,0,0
FC Zurich,FC Basel 1893,"[3, 3]",2021-10-30 18:30:00,0,0,1
FC Basel 1893,FC ST. Gallen,"[0, 1]",2021-11-07 15:30:00,0,1,0
Grasshoppers,BSC Young Boys,"[1, 1]",2021-11-06 17:00:00,0,0,1
Lausanne,FC Lugano,"[0, 2]",2021-11-07 15:30:00,0,1,0
FC Luzern,FC Sion,"[0, 1]",2021-11-06 19:30:00,0,1,0
Servette FC,FC Zurich,"[1, 2]",2021-11-07 13:15:00,0,1,0
FC Lugano,FC Luzern,"[3, 1]",2021-11-21 15:30:00,1,0,0
Servette FC,Grasshoppers,"[3, 2]",2021-11-21 15:30:00,1,0,0
FC Sion,FC Zurich,"[0, 1]",2021-11-20 17:00:00,0,1,0
FC ST. Gallen,Lausanne,"[0, 1]",2021-11-21 13:15:00,0,1,0
BSC Young Boys,FC Basel 1893,"[1, 1]",2021-12-15 19:30:00,0,0,1
Grasshoppers,FC Lugano,"[0, 1]",2021-11-27 17:00:00,0,1,0
Lausanne,Servette FC,"[0, 3]",2021-11-28 15:30:00,0,1,0
FC Luzern,FC Basel 1893,"[1, 3]",2021-11-28 15:30:00,0,1,0
FC Sion,FC ST. Gallen,"[3, 1]",2021-11-27 19:30:00,1,0,0
FC Zurich,BSC Young Boys,"[1, 0]",2021-11-28 13:15:00,1,0,0
FC Basel 1893,Lausanne,"[1, 1]",2021-12-05 13:15:00,0,0,1
FC Lugano,FC Sion,"[2, 0]",2021-12-05 15:30:00,1,0,0
FC ST. Gallen,Grasshoppers,"[0, 4]",2021-12-05 15:30:00,0,1,0
BSC Young Boys,Servette FC,"[1, 2]",2021-12-04 19:30:00,0,1,0
FC Zurich,FC Luzern,"[4, 0]",2021-12-04 17:00:00,1,0,0
Grasshoppers,FC Luzern,"[1, 1]",2021-12-12 15:30:00,0,0,1
Lausanne,FC Zurich,"[1, 3]",2021-12-11 17:00:00,0,1,0
Servette FC,FC Basel 1893,"[2, 2]",2021-12-12 15:30:00,0,0,1
FC ST. Gallen,FC Lugano,"[1, 1]",2021-12-11 19:30:00,0,0,1
BSC Young Boys,FC Sion,"[4, 3]",2021-12-12 13:15:00,1,0,0
FC Basel 1893,Grasshoppers,"[2, 2]",2021-12-19 15:30:00,0,0,1
FC Lugano,BSC Young Boys,"[0, 5]",2021-12-19 13:15:00,0,1,0
FC Luzern,Servette FC,"[0, 2]",2021-12-18 19:30:00,0,1,0
FC Sion,Lausanne,"[2, 0]",2021-12-19 15:30:00,1,0,0
FC Zurich,FC ST. Gallen,"[3, 1]",2021-12-18 17:00:00,1,0,0
Lausanne,FC ST. Gallen,"[1, 5]",2022-01-30 13:15:00,0,1,0
FC Luzern,FC Basel 1893,"[0, 3]",2022-01-30 15:30:00,0,1,0
FC Sion,Grasshoppers,"[2, 0]",2022-01-30 15:30:00,1,0,0
BSC Young Boys,FC Lugano,"[1, 0]",2022-01-29 19:30:00,1,0,0
FC Zurich,Servette FC,"[1, 0]",2022-01-29 17:00:00,1,0,0
FC Basel 1893,FC Sion,"[3, 3]",2022-02-06 13:15:00,0,0,1
Grasshoppers,FC Zurich,"[1, 3]",2022-02-05 19:30:00,0,1,0
FC Lugano,FC Luzern,"[2, 1]",2022-02-06 15:30:00,1,0,0
Servette FC,Lausanne,"[1, 0]",2022-02-05 17:00:00,1,0,0
FC ST. Gallen,BSC Young Boys,"[3, 3]",2022-02-06 15:30:00,0,0,1
Lausanne,Grasshoppers,"[0, 2]",2022-02-12 17:00:00,0,1,0
FC Luzern,FC Sion,"[1, 0]",2022-02-13 15:30:00,1,0,0
FC ST. Gallen,Servette FC,"[5, 1]",2022-02-12 19:30:00,1,0,0
BSC Young Boys,FC Basel 1893,"[3, 1]",2022-02-13 13:15:00,1,0,0
FC Zurich,FC Lugano,"[3, 0]",2022-02-13 15:30:00,1,0,0
FC Basel 1893,Lausanne,"[3, 0]",2022-02-19 19:30:00,1,0,0
Grasshoppers,BSC Young Boys,"[2, 2]",2022-02-20 15:30:00,0,0,1
FC Lugano,FC ST. Gallen,"[0, 2]",2022-02-19 17:00:00,0,1,0
Servette FC,FC Luzern,"[1, 1]",2022-02-20 15:30:00,0,0,1
FC Sion,FC Zurich,"[1, 1]",2022-02-20 13:15:00,0,0,1
Lausanne,FC Luzern,"[1, 2]",2022-02-27 15:30:00,0,1,0
FC Lugano,Servette FC,"[2, 0]",2022-02-26 19:30:00,1,0,0
FC ST. Gallen,Grasshoppers,"[2, 0]",2022-02-27 13:15:00,1,0,0
BSC Young Boys,FC Sion,"[3, 1]",2022-02-26 17:00:00,1,0,0
FC Zurich,FC Basel 1893,"[4, 2]",2022-02-27 15:30:00,1,0,0
FC Basel 1893,FC ST. Gallen,"[2, 2]",2022-03-03 19:30:00,0,0,1
Grasshoppers,FC Lugano,"[1, 2]",2022-03-03 19:30:00,0,1,0
FC Luzern,FC Zurich,"[0, 2]",2022-03-02 19:30:00,0,1,0
Servette FC,BSC Young Boys,"[1, 0]",2022-03-01 19:30:00,1,0,0
FC Sion,Lausanne,"[1, 0]",2022-03-02 17:00:00,1,0,0
Grasshoppers,Servette FC,"[2, 4]",2022-03-06 15:30:00,0,1,0
Lausanne,FC Zurich,"[0, 2]",2022-03-05 19:30:00,0,1,0
FC Lugano,FC Basel 1893,"[0, 2]",2022-03-06 13:15:00,0,1,0
FC ST. Gallen,FC Sion,"[1, 1]",2022-03-06 15:30:00,0,0,1
BSC Young Boys,FC Luzern,"[2, 2]",2022-03-05 17:00:00,0,0,1
FC Basel 1893,Servette FC,"[2, 0]",2022-03-13 15:30:00,1,0,0
Lausanne,BSC Young Boys,"[2, 2]",2022-03-13 13:15:00,0,0,1
FC Luzern,Grasshoppers,"[1, 0]",2022-03-13 15:30:00,1,0,0
FC Sion,FC Lugano,"[0, 3]",2022-03-12 19:30:00,0,1,0
FC Zurich,FC ST. Gallen,"[0, 3]",2022-03-12 17:00:00,0,1,0
Grasshoppers,FC Basel 1893,"[2, 4]",2022-03-20 15:30:00,0,1,0
FC Lugano,Lausanne,"[3, 1]",2022-03-20 15:30:00,1,0,0
Servette FC,FC Sion,"[2, 1]",2022-03-20 13:15:00,1,0,0
FC ST. Gallen,FC Luzern,"[3, 2]",2022-03-19 17:00:00,1,0,0
BSC Young Boys,FC Zurich,"[1, 2]",2022-03-19 19:30:00,0,1,0
FC Basel 1893,BSC Young Boys,"[2, 2]",2022-04-03 14:30:00,0,0,1
Lausanne,Servette FC,"[4, 1]",2022-04-03 14:30:00,1,0,0
FC Luzern,FC Lugano,"[2, 2]",2022-04-03 12:15:00,0,0,1
FC Sion,FC ST. Gallen,"[0, 3]",2022-04-02 18:30:00,0,1,0
FC Zurich,Grasshoppers,"[1, 1]",2022-04-02 15:30:00,0,0,1
Grasshoppers,FC Luzern,"[2, 2]",2022-04-09 18:30:00,0,0,1
FC Lugano,FC Sion,"[1, 3]",2022-04-10 14:30:00,0,1,0
Servette FC,FC Zurich,"[1, 0]",2022-04-10 12:15:00,1,0,0
FC ST. Gallen,FC Basel 1893,"[2, 2]",2022-04-10 14:30:00,0,0,1
BSC Young Boys,Lausanne,"[2, 2]",2022-04-09 16:00:00,0,0,1
Lausanne,FC Lugano,"[4, 1]",2022-04-18 14:30:00,1,0,0
FC Luzern,FC ST. Gallen,"[3, 2]",2022-04-18 12:15:00,1,0,0
Servette FC,Grasshoppers,"[0, 1]",2022-04-16 18:30:00,0,1,0
FC Sion,FC Basel 1893,"[0, 0]",2022-04-18 14:30:00,0,0,1
FC Zurich,BSC Young Boys,"[2, 1]",2022-04-16 15:30:00,1,0,0
FC Basel 1893,FC Luzern,"[3, 0]",2022-04-24 14:30:00,1,0,0
Grasshoppers,Lausanne,"[3, 1]",2022-04-24 14:30:00,1,0,0
FC ST. Gallen,FC Lugano,"[3, 0]",2022-04-24 12:15:00,1,0,0
BSC Young Boys,Servette FC,"[3, 1]",2022-04-23 18:30:00,1,0,0
FC Zurich,FC Sion,"[5, 1]",2022-04-23 15:30:00,1,0,0
FC Basel 1893,FC Zurich,"[0, 2]",2022-05-01 14:30:00,0,1,0
FC Lugano,Grasshoppers,"[1, 1]",2022-04-30 16:00:00,0,0,1
FC Luzern,Lausanne,"[3, 0]",2022-05-01 14:30:00,1,0,0
Servette FC,FC ST. Gallen,"[0, 2]",2022-04-30 18:30:00,0,1,0
FC Sion,BSC Young Boys,"[1, 2]",2022-05-01 12:15:00,0,1,0
Grasshoppers,FC Sion,"[0, 1]",2022-05-08 12:15:00,0,1,0
Lausanne,FC Basel 1893,"[0, 0]",2022-05-08 14:30:00,0,0,1
FC Lugano,BSC Young Boys,"[3, 1]",2022-05-07 16:00:00,1,0,0
FC Luzern,Servette FC,"[4, 0]",2022-05-08 14:30:00,1,0,0
FC ST. Gallen,FC Zurich,"[1, 2]",2022-05-07 18:30:00,0,1,0
FC Basel 1893,Grasshoppers,"[1, 1]",2022-05-12 18:30:00,0,0,1
Servette FC,FC Lugano,"[2, 2]",2022-05-11 18:30:00,0,0,1
FC Sion,FC Luzern,"[1, 3]",2022-05-11 18:30:00,0,1,0
BSC Young Boys,FC ST. Gallen,"[4, 1]",2022-05-10 18:30:00,1,0,0
FC Zurich,Lausanne,"[2, 2]",2022-05-12 18:30:00,0,0,1
Grasshoppers,FC ST. Gallen,"[3, 2]",2022-05-19 18:30:00,1,0,0
Lausanne,FC Sion,"[1, 2]",2022-05-19 18:30:00,0,1,0
FC Lugano,FC Zurich,"[2, 1]",2022-05-19 18:30:00,1,0,0
FC Luzern,BSC Young Boys,"[2, 2]",2022-05-19 18:30:00,0,0,1
Servette FC,FC Basel 1893,"[0, 0]",2022-05-19 18:30:00,0,0,1
FC Basel 1893,FC Lugano,"[2, 1]",2022-05-22 14:30:00,1,0,0
FC Sion,Servette FC,"[3, 3]",2022-05-22 14:30:00,0,0,1
FC ST. Gallen,Lausanne,"[4, 0]",2022-05-22 14:30:00,1,0,0
BSC Young Boys,Grasshoppers,"[3, 0]",2022-05-22 14:30:00,1,0,0
FC Zurich,FC Luzern,"[2, 3]",2022-05-22 14:30:00,0,1,0
FC Schaffhausen,FC Luzern,"[2, 2]",2022-05-26 16:00:00,0,0,1
FC Luzern,FC Schaffhausen,"[2, 0]",2022-05-29 14:30:00,1,0,0
