Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
BSC Young Boys,FC Zurich,"[4, 0]",2022-07-16 16:00:00,1,0,0
FC Winterthur,FC Basel 1893,"[1, 1]",2022-07-16 18:30:00,0,0,1
FC Lugano,FC Sion,"[2, 3]",2022-07-17 14:30:00,0,1,0
Servette FC,FC ST. Gallen,"[1, 0]",2022-07-17 14:30:00,1,0,0
FC Luzern,Grasshoppers,"[1, 1]",2022-08-10 17:00:00,0,0,1
FC Zurich,FC Luzern,"[0, 0]",2022-07-23 16:00:00,0,0,1
FC ST. Gallen,FC Winterthur,"[2, 0]",2022-07-23 18:30:00,1,0,0
FC Basel 1893,Servette FC,"[1, 1]",2022-07-24 12:15:00,0,0,1
Grasshoppers,FC Lugano,"[2, 1]",2022-07-24 14:30:00,1,0,0
FC Sion,BSC Young Boys,"[0, 3]",2022-07-24 14:30:00,0,1,0
FC ST. Gallen,FC Zurich,"[2, 0]",2022-07-30 16:00:00,1,0,0
FC Sion,Servette FC,"[0, 0]",2022-07-30 18:30:00,0,0,1
FC Winterthur,FC Lugano,"[1, 4]",2022-07-31 14:30:00,0,1,0
BSC Young Boys,Grasshoppers,"[1, 1]",2022-07-31 14:30:00,0,0,1
FC Luzern,FC Basel 1893,"[0, 2]",2022-11-09 19:30:00,0,1,0
Servette FC,FC Winterthur,"[1, 0]",2022-08-06 16:00:00,1,0,0
Grasshoppers,FC ST. Gallen,"[3, 2]",2022-08-06 18:30:00,1,0,0
FC Zurich,FC Sion,"[0, 3]",2022-08-07 12:15:00,0,1,0
FC Basel 1893,BSC Young Boys,"[0, 0]",2022-08-07 14:30:00,0,0,1
FC Lugano,FC Luzern,"[1, 2]",2022-08-07 14:30:00,0,1,0
FC Sion,Grasshoppers,"[2, 2]",2022-08-13 16:00:00,0,0,1
FC Winterthur,FC Zurich,"[1, 1]",2022-08-14 12:15:00,0,0,1
FC ST. Gallen,FC Luzern,"[4, 1]",2022-08-13 18:30:00,1,0,0
FC Basel 1893,FC Lugano,"[0, 2]",2022-08-14 14:30:00,0,1,0
BSC Young Boys,Servette FC,"[3, 0]",2022-08-14 14:30:00,1,0,0
FC Luzern,FC Sion,"[2, 0]",2022-08-27 16:00:00,1,0,0
Servette FC,Grasshoppers,"[3, 1]",2022-08-27 18:30:00,1,0,0
FC Lugano,FC ST. Gallen,"[2, 3]",2022-08-28 12:15:00,0,1,0
FC Winterthur,BSC Young Boys,"[1, 5]",2022-08-28 14:30:00,0,1,0
FC Zurich,FC Basel 1893,"[2, 4]",2022-08-28 14:30:00,0,1,0
FC Sion,FC Basel 1893,"[2, 1]",2022-09-03 16:00:00,1,0,0
FC Zurich,FC Lugano,"[1, 2]",2022-09-03 18:30:00,0,1,0
FC Luzern,Servette FC,"[0, 2]",2022-09-04 12:15:00,0,1,0
Grasshoppers,FC Winterthur,"[3, 0]",2022-09-04 14:30:00,1,0,0
FC ST. Gallen,BSC Young Boys,"[2, 1]",2022-09-04 14:30:00,1,0,0
FC ST. Gallen,FC Sion,"[1, 2]",2022-09-10 16:00:00,0,1,0
Servette FC,FC Zurich,"[3, 2]",2022-09-11 12:15:00,1,0,0
FC Winterthur,FC Luzern,"[0, 6]",2022-09-10 18:30:00,0,1,0
FC Basel 1893,Grasshoppers,"[5, 1]",2022-09-11 14:30:00,1,0,0
BSC Young Boys,FC Lugano,"[3, 0]",2022-09-11 14:30:00,1,0,0
FC Basel 1893,FC ST. Gallen,"[3, 2]",2022-10-01 16:00:00,1,0,0
Grasshoppers,FC Zurich,"[1, 1]",2022-10-01 18:30:00,0,0,1
FC Sion,FC Winterthur,"[1, 3]",2022-10-02 12:15:00,0,1,0
FC Lugano,Servette FC,"[1, 0]",2022-10-02 14:30:00,1,0,0
FC Luzern,BSC Young Boys,"[1, 2]",2022-10-02 14:30:00,0,1,0
Grasshoppers,FC Sion,"[4, 4]",2022-10-08 16:00:00,0,0,1
FC Lugano,FC Basel 1893,"[1, 0]",2022-10-09 14:30:00,1,0,0
Servette FC,FC Luzern,"[1, 1]",2022-10-09 12:15:00,0,0,1
BSC Young Boys,FC ST. Gallen,"[2, 1]",2022-10-08 18:30:00,1,0,0
FC Zurich,FC Winterthur,"[0, 0]",2022-10-09 14:30:00,0,0,1
Servette FC,FC Basel 1893,"[0, 0]",2022-10-16 14:30:00,0,0,1
FC Sion,FC Luzern,"[2, 0]",2022-10-15 16:00:00,1,0,0
FC ST. Gallen,FC Lugano,"[1, 1]",2022-10-16 12:15:00,0,0,1
FC Winterthur,Grasshoppers,"[1, 0]",2022-10-15 18:30:00,1,0,0
FC Zurich,BSC Young Boys,"[0, 0]",2022-10-16 14:30:00,0,0,1
FC Basel 1893,FC Zurich,"[0, 0]",2022-10-20 18:30:00,0,0,1
Grasshoppers,Servette FC,"[2, 3]",2022-10-20 18:30:00,0,1,0
FC Lugano,BSC Young Boys,"[1, 4]",2022-10-19 18:30:00,0,1,0
FC Luzern,FC ST. Gallen,"[3, 3]",2022-10-19 18:30:00,0,0,1
FC Winterthur,FC Sion,"[1, 0]",2022-10-18 18:30:00,1,0,0
