Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
FC Basel 1893,FC Winterthur,"[3, 1]",2022-10-23 12:15:00,1,0,0
FC Luzern,FC Lugano,"[3, 1]",2022-10-22 18:30:00,1,0,0
FC ST. Gallen,Servette FC,"[1, 1]",2022-10-23 14:30:00,0,0,1
BSC Young Boys,FC Sion,"[1, 1]",2022-10-22 16:00:00,0,0,1
FC Zurich,Grasshoppers,"[1, 4]",2022-10-23 14:30:00,0,1,0
Grasshoppers,FC Luzern,"[1, 3]",2022-10-29 16:00:00,0,1,0
Servette FC,FC Lugano,"[2, 2]",2022-10-29 18:30:00,0,0,1
FC Sion,FC Zurich,"[0, 1]",2022-10-30 13:15:00,0,1,0
FC Winterthur,FC ST. Gallen,"[1, 0]",2022-10-30 15:30:00,1,0,0
BSC Young Boys,FC Basel 1893,"[3, 1]",2022-10-30 15:30:00,1,0,0
FC Basel 1893,FC Sion,"[0, 0]",2022-11-06 15:30:00,0,0,1
FC Lugano,FC Zurich,"[2, 0]",2022-11-06 15:30:00,1,0,0
FC Luzern,FC Winterthur,"[1, 1]",2022-11-05 19:30:00,0,0,1
Servette FC,BSC Young Boys,"[0, 0]",2022-11-06 13:15:00,0,0,1
FC ST. Gallen,Grasshoppers,"[2, 1]",2022-11-05 17:00:00,1,0,0
Grasshoppers,FC Basel 1893,"[1, 0]",2022-11-12 19:30:00,1,0,0
FC Sion,FC ST. Gallen,"[2, 7]",2022-11-12 17:00:00,0,1,0
FC Lugano,FC Winterthur,"[3, 1]",2022-11-13 15:30:00,1,0,0
BSC Young Boys,FC Luzern,"[3, 0]",2022-11-13 15:30:00,1,0,0
FC Zurich,Servette FC,"[4, 1]",2022-11-13 13:15:00,1,0,0
Grasshoppers,BSC Young Boys,"[1, 2]",2023-01-21 19:30:00,0,1,0
FC Luzern,FC Zurich,"[2, 2]",2023-01-21 17:00:00,0,0,1
FC Sion,FC Lugano,"[2, 3]",2023-01-22 13:15:00,0,1,0
FC ST. Gallen,FC Basel 1893,"[1, 1]",2023-01-22 15:30:00,0,0,1
FC Winterthur,Servette FC,"[1, 2]",2023-02-15 17:45:00,0,1,0
FC Basel 1893,FC Luzern,"[2, 3]",2023-01-28 19:30:00,0,1,0
FC Lugano,Grasshoppers,"[1, 1]",2023-01-28 17:00:00,0,0,1
Servette FC,FC Sion,"[2, 2]",2023-01-29 15:30:00,0,0,1
BSC Young Boys,FC Winterthur,"[5, 1]",2023-01-29 13:15:00,1,0,0
FC Zurich,FC ST. Gallen,"[1, 0]",2023-01-29 15:30:00,1,0,0
Grasshoppers,FC Basel 1893,"[1, 0]",2023-02-04 17:00:00,1,0,0
FC Luzern,BSC Young Boys,"[1, 1]",2023-02-05 15:30:00,0,0,1
FC Sion,FC Zurich,"[0, 1]",2023-02-05 13:15:00,0,1,0
FC ST. Gallen,Servette FC,"[3, 0]",2023-02-04 19:30:00,1,0,0
FC Winterthur,FC Lugano,"[1, 0]",2023-02-05 15:30:00,1,0,0
FC Basel 1893,FC Sion,"[3, 1]",2023-02-11 19:30:00,1,0,0
FC Lugano,FC Luzern,"[1, 1]",2023-02-12 13:15:00,0,0,1
Servette FC,Grasshoppers,"[2, 1]",2023-02-11 17:00:00,1,0,0
BSC Young Boys,FC ST. Gallen,"[5, 1]",2023-02-12 15:30:00,1,0,0
FC Zurich,FC Winterthur,"[1, 1]",2023-02-12 15:30:00,0,0,1
FC Basel 1893,Servette FC,"[2, 2]",2023-02-19 15:30:00,0,0,1
Grasshoppers,FC Zurich,"[1, 2]",2023-02-19 15:30:00,0,1,0
FC ST. Gallen,FC Luzern,"[2, 2]",2023-02-19 13:15:00,0,0,1
FC Winterthur,FC Sion,"[1, 1]",2023-02-18 17:00:00,0,0,1
BSC Young Boys,FC Lugano,"[1, 1]",2023-02-18 19:30:00,0,0,1
FC Lugano,FC Basel 1893,"[2, 2]",2023-02-26 15:30:00,0,0,1
FC Luzern,Grasshoppers,"[1, 0]",2023-02-26 13:15:00,1,0,0
Servette FC,FC Winterthur,"[1, 1]",2023-02-26 15:30:00,0,0,1
FC Sion,FC ST. Gallen,"[0, 4]",2023-02-25 17:00:00,0,1,0
FC Zurich,BSC Young Boys,"[2, 2]",2023-02-25 19:30:00,0,0,1
FC Luzern,FC Basel 1893,"[0, 1]",2023-03-04 19:30:00,0,1,0
FC Sion,FC Lugano,"[1, 1]",2023-03-05 15:30:00,0,0,1
FC ST. Gallen,Grasshoppers,"[1, 1]",2023-03-05 13:15:00,0,0,1
FC Winterthur,BSC Young Boys,"[1, 1]",2023-03-04 17:00:00,0,0,1
FC Zurich,Servette FC,"[1, 1]",2023-03-05 15:30:00,0,0,1
FC Basel 1893,FC ST. Gallen,"[1, 1]",2023-03-12 15:30:00,0,0,1
Grasshoppers,FC Winterthur,"[2, 1]",2023-03-12 15:30:00,1,0,0
FC Lugano,FC Zurich,"[2, 0]",2023-03-11 19:30:00,1,0,0
Servette FC,FC Luzern,"[0, 1]",2023-03-12 13:15:00,0,1,0
BSC Young Boys,FC Sion,"[4, 0]",2023-03-11 17:00:00,1,0,0
FC Lugano,Servette FC,"[1, 1]",2023-03-19 15:30:00,0,0,1
FC Sion,Grasshoppers,"[1, 2]",2023-03-18 19:30:00,0,1,0
FC Winterthur,FC ST. Gallen,"[1, 0]",2023-03-19 13:15:00,1,0,0
BSC Young Boys,FC Basel 1893,"[3, 0]",2023-03-19 15:30:00,1,0,0
FC Zurich,FC Luzern,"[2, 1]",2023-03-18 17:00:00,1,0,0
FC Basel 1893,FC Winterthur,"[2, 0]",2023-04-01 18:30:00,1,0,0
Grasshoppers,FC Lugano,"[2, 1]",2023-04-02 12:15:00,1,0,0
FC Luzern,FC Sion,"[1, 2]",2023-04-02 14:30:00,0,1,0
Servette FC,BSC Young Boys,"[2, 1]",2023-04-01 16:00:00,1,0,0
FC ST. Gallen,FC Zurich,"[2, 2]",2023-04-02 14:30:00,0,0,1
FC Lugano,FC ST. Gallen,"[1, 1]",2023-04-10 12:15:00,0,0,1
FC Sion,Servette FC,"[2, 2]",2023-04-08 18:30:00,0,0,1
FC Winterthur,FC Luzern,"[1, 2]",2023-04-10 14:30:00,0,1,0
BSC Young Boys,Grasshoppers,"[2, 0]",2023-04-10 14:30:00,1,0,0
FC Zurich,FC Basel 1893,"[1, 1]",2023-04-08 16:00:00,0,0,1
FC Basel 1893,BSC Young Boys,"[1, 1]",2023-04-16 14:30:00,0,0,1
Grasshoppers,FC Sion,"[1, 3]",2023-04-16 14:30:00,0,1,0
FC Luzern,FC Zurich,"[4, 1]",2023-04-15 18:30:00,1,0,0
Servette FC,FC Lugano,"[0, 0]",2023-04-15 16:00:00,0,0,1
FC ST. Gallen,FC Winterthur,"[2, 3]",2023-04-16 12:15:00,0,1,0
FC Basel 1893,FC Luzern,"[0, 2]",2023-04-23 12:15:00,0,1,0
FC Lugano,FC Sion,"[2, 0]",2023-04-23 14:30:00,1,0,0
FC Winterthur,Grasshoppers,"[1, 2]",2023-04-22 16:00:00,0,1,0
BSC Young Boys,Servette FC,"[6, 1]",2023-04-22 18:30:00,1,0,0
FC Zurich,FC ST. Gallen,"[1, 0]",2023-04-23 14:30:00,1,0,0
Grasshoppers,BSC Young Boys,"[4, 1]",2023-04-25 18:30:00,1,0,0
FC Luzern,FC Winterthur,"[3, 1]",2023-04-27 18:30:00,1,0,0
Servette FC,FC Zurich,"[4, 0]",2023-04-26 18:30:00,1,0,0
FC Sion,FC Basel 1893,"[1, 2]",2023-04-27 18:30:00,0,1,0
FC ST. Gallen,FC Lugano,"[1, 2]",2023-04-26 18:30:00,0,1,0
FC Lugano,Grasshoppers,"[5, 1]",2023-04-29 18:30:00,1,0,0
Servette FC,FC ST. Gallen,"[1, 1]",2023-04-29 18:30:00,0,0,1
FC Winterthur,FC Basel 1893,"[1, 4]",2023-04-30 14:30:00,0,1,0
BSC Young Boys,FC Luzern,"[5, 1]",2023-04-30 14:30:00,1,0,0
FC Zurich,FC Sion,"[2, 2]",2023-04-30 12:15:00,0,0,1
FC Basel 1893,FC Zurich,"[0, 2]",2023-05-07 14:30:00,0,1,0
Grasshoppers,Servette FC,"[2, 3]",2023-05-07 14:30:00,0,1,0
FC Luzern,FC Lugano,"[2, 2]",2023-05-07 12:15:00,0,0,1
FC Sion,FC Winterthur,"[0, 1]",2023-05-06 16:00:00,0,1,0
FC ST. Gallen,BSC Young Boys,"[0, 2]",2023-05-06 18:30:00,0,1,0
Grasshoppers,FC Luzern,"[2, 0]",2023-05-13 16:00:00,1,0,0
FC Lugano,FC Winterthur,"[2, 1]",2023-05-14 14:30:00,1,0,0
Servette FC,FC Sion,"[5, 0]",2023-05-13 18:30:00,1,0,0
FC ST. Gallen,FC Basel 1893,"[6, 1]",2023-05-14 14:30:00,1,0,0
BSC Young Boys,FC Zurich,"[1, 1]",2023-05-14 12:15:00,0,0,1
FC Basel 1893,FC Lugano,"[1, 1]",2023-05-21 14:30:00,0,0,1
FC Luzern,FC ST. Gallen,"[1, 1]",2023-05-20 18:30:00,0,0,1
FC Sion,BSC Young Boys,"[0, 2]",2023-05-21 12:15:00,0,1,0
FC Winterthur,Servette FC,"[0, 1]",2023-05-20 16:00:00,0,1,0
FC Zurich,Grasshoppers,"[2, 1]",2023-05-21 14:30:00,1,0,0
Grasshoppers,FC ST. Gallen,"[2, 2]",2023-05-25 18:30:00,0,0,1
FC Lugano,BSC Young Boys,"[2, 0]",2023-05-25 18:30:00,1,0,0
Servette FC,FC Basel 1893,"[3, 3]",2023-05-25 18:30:00,0,0,1
FC Sion,FC Luzern,"[1, 2]",2023-05-25 18:30:00,0,1,0
FC Winterthur,FC Zurich,"[0, 2]",2023-05-25 18:30:00,0,1,0
FC Basel 1893,Grasshoppers,"[3, 1]",2023-05-29 14:30:00,1,0,0
FC Luzern,Servette FC,"[0, 1]",2023-05-29 14:30:00,0,1,0
FC ST. Gallen,FC Sion,"[4, 0]",2023-05-29 14:30:00,1,0,0
BSC Young Boys,FC Winterthur,"[2, 1]",2023-05-29 14:30:00,1,0,0
FC Zurich,FC Lugano,"[2, 3]",2023-05-29 14:30:00,0,1,0
FC Sion,Stade Lausanne-Ouchy,"[0, 2]",2023-06-03 00:00:00,0,1,0
Stade Lausanne-Ouchy,FC Sion,"[4, 2]",2023-06-06 18:30:00,1,0,0
