Heim,Auswärts,Ergebnis,Datum,Heimgewinn,Auswärtsgewinn,Unentschieden
FC Zurich,FC Luzern,"[1, 2]",2021-03-04 19:30:00,0,1,0
BSC Young Boys,FC Vaduz,"[1, 1]",2021-03-06 17:15:00,0,0,1
Servette FC,FC Basel 1893,"[2, 1]",2021-03-06 19:30:00,1,0,0
Lausanne,FC Sion,"[1, 3]",2021-03-07 15:00:00,0,1,0
FC Lugano,FC Zurich,"[0, 1]",2021-03-07 15:00:00,0,1,0
FC Luzern,FC ST. Gallen,"[4, 2]",2021-03-07 15:00:00,1,0,0
FC Zurich,Lausanne,"[1, 1]",2021-03-13 17:15:00,0,0,1
FC Basel 1893,FC Luzern,"[4, 1]",2021-03-13 19:30:00,1,0,0
FC Sion,Servette FC,"[1, 2]",2021-03-14 15:00:00,0,1,0
FC ST. Gallen,BSC Young Boys,"[2, 2]",2021-03-14 15:00:00,0,0,1
FC Vaduz,FC Lugano,"[0, 3]",2021-03-14 15:00:00,0,1,0
BSC Young Boys,FC Zurich,"[4, 0]",2021-03-21 15:00:00,1,0,0
Lausanne,FC ST. Gallen,"[4, 3]",2021-03-20 17:15:00,1,0,0
FC Lugano,FC Basel 1893,"[2, 1]",2021-03-20 19:30:00,1,0,0
FC Luzern,FC Sion,"[1, 1]",2021-03-21 15:00:00,0,0,1
Servette FC,FC Vaduz,"[1, 2]",2021-03-21 15:00:00,0,1,0
Lausanne,FC Luzern,"[2, 1]",2021-04-03 16:15:00,1,0,0
FC ST. Gallen,FC Zurich,"[1, 1]",2021-04-03 18:30:00,0,0,1
FC Basel 1893,FC Vaduz,"[1, 2]",2021-04-05 14:00:00,0,1,0
Servette FC,FC Lugano,"[1, 1]",2021-04-04 14:00:00,0,0,1
FC Sion,BSC Young Boys,"[0, 3]",2021-04-04 14:00:00,0,1,0
FC Lugano,Lausanne,"[1, 0]",2021-04-10 16:15:00,1,0,0
FC Luzern,FC Basel 1893,"[3, 4]",2021-04-10 18:30:00,0,1,0
FC Vaduz,FC Sion,"[3, 0]",2021-04-11 14:00:00,1,0,0
BSC Young Boys,FC ST. Gallen,"[2, 0]",2021-04-11 14:00:00,1,0,0
FC Zurich,Servette FC,"[1, 2]",2021-04-11 14:00:00,0,1,0
FC Basel 1893,Servette FC,"[5, 0]",2021-04-18 14:00:00,1,0,0
Lausanne,FC Vaduz,"[2, 1]",2021-04-18 14:00:00,1,0,0
FC Sion,FC Zurich,"[2, 2]",2021-04-17 16:15:00,0,0,1
FC ST. Gallen,FC Luzern,"[0, 0]",2021-04-17 18:30:00,0,0,1
BSC Young Boys,FC Lugano,"[3, 0]",2021-04-18 14:00:00,1,0,0
FC Lugano,FC ST. Gallen,"[2, 0]",2021-04-21 18:30:00,1,0,0
FC Luzern,Lausanne,"[1, 0]",2021-04-21 16:15:00,1,0,0
Servette FC,FC Sion,"[3, 5]",2021-04-22 16:15:00,0,1,0
FC Vaduz,FC Basel 1893,"[1, 1]",2021-04-21 18:30:00,0,0,1
FC Zurich,BSC Young Boys,"[1, 2]",2021-04-22 18:30:00,0,1,0
Lausanne,FC Basel 1893,"[3, 3]",2021-04-24 18:30:00,0,0,1
FC Lugano,Servette FC,"[0, 1]",2021-04-25 14:00:00,0,1,0
FC Luzern,FC Zurich,"[3, 1]",2021-04-25 14:00:00,1,0,0
FC ST. Gallen,FC Vaduz,"[1, 0]",2021-04-24 16:15:00,1,0,0
BSC Young Boys,FC Sion,"[2, 1]",2021-04-25 14:00:00,1,0,0
FC Basel 1893,FC ST. Gallen,"[1, 0]",2021-05-01 18:30:00,1,0,0
Servette FC,BSC Young Boys,"[2, 1]",2021-05-02 14:00:00,1,0,0
FC Sion,Lausanne,"[1, 1]",2021-05-02 14:00:00,0,0,1
FC Vaduz,FC Luzern,"[1, 2]",2021-05-01 16:15:00,0,1,0
FC Zurich,FC Lugano,"[3, 0]",2021-05-02 14:00:00,1,0,0
Lausanne,FC Zurich,"[2, 2]",2021-05-09 14:00:00,0,0,1
FC Lugano,FC Vaduz,"[0, 2]",2021-05-08 16:15:00,0,1,0
FC Luzern,Servette FC,"[3, 0]",2021-05-09 14:00:00,1,0,0
FC ST. Gallen,FC Sion,"[0, 3]",2021-05-09 14:00:00,0,1,0
BSC Young Boys,FC Basel 1893,"[2, 0]",2021-05-08 18:30:00,1,0,0
FC Basel 1893,FC Lugano,"[2, 0]",2021-05-11 18:30:00,1,0,0
Servette FC,Lausanne,"[1, 4]",2021-05-12 16:15:00,0,1,0
FC Sion,FC Luzern,"[1, 1]",2021-05-12 18:30:00,0,0,1
FC Vaduz,BSC Young Boys,"[0, 2]",2021-05-11 16:15:00,0,1,0
FC Zurich,FC ST. Gallen,"[2, 2]",2021-05-12 18:30:00,0,0,1
FC Basel 1893,FC Zurich,"[4, 0]",2021-05-15 18:30:00,1,0,0
FC Lugano,FC Sion,"[3, 1]",2021-05-15 18:30:00,1,0,0
FC ST. Gallen,Lausanne,"[5, 0]",2021-05-15 18:30:00,1,0,0
FC Vaduz,Servette FC,"[1, 3]",2021-05-15 18:30:00,0,1,0
BSC Young Boys,FC Luzern,"[5, 2]",2021-05-15 18:30:00,1,0,0
Lausanne,BSC Young Boys,"[2, 4]",2021-05-21 18:30:00,0,1,0
FC Luzern,FC Lugano,"[1, 2]",2021-05-21 18:30:00,0,1,0
Servette FC,FC ST. Gallen,"[1, 2]",2021-05-21 18:30:00,0,1,0
FC Sion,FC Basel 1893,"[4, 0]",2021-05-21 18:30:00,1,0,0
FC Zurich,FC Vaduz,"[4, 1]",2021-05-21 18:30:00,1,0,0
FC Thun,FC Sion,"[1, 4]",2021-05-27 18:30:00,0,1,0
FC Sion,FC Thun,"[2, 3]",2021-05-30 14:00:00,0,1,0
