Wo,Tag,Datum,Uhrzeit,Heim,Ergebnis,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
36,Mon,2023-05-29,16:30,Young Boys,,FC Winterthur,,Stadion Wankdorf,,Head-to-Head,
36,Mon,2023-05-29,16:30,Basel,,Grasshopper,,St. Jakob-Park,,Head-to-Head,
36,Mon,2023-05-29,16:30,St. Gallen,,Sion,,Kybunpark,,Head-to-Head,
36,Mon,2023-05-29,16:30,Luzern,,Servette FC,,swissporarena,,Head-to-Head,
36,Mon,2023-05-29,16:30,Zürich,,Lugano,,Stadion Letzigrund,,Head-to-Head
