Runde,Wo,Tag,Datum,Uhrzeit,Heim,xG,Ergebnis,xG,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
Semi-finals,,Tue,2023-05-16,21:00,Inter it,,,,it Milan,,Stadio Giuseppe Meazza,,Head-to-Head,Leg 2 of 2
Semi-finals,,Wed,2023-05-17,20:00 (21:00),Manchester City eng,,,,es Real Madrid,,Etihad Stadium,,Head-to-Head,Leg 2 of 2
