Runde,Wo,Tag,Datum,Uhrzeit,Heim,xG,Ergebnis,xG,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
Group stage,2,Tue,2022-09-13,21:00,Marseille fr,0.9,0–1,1.2,de Eint Frankfurt,62500,Orange Vélodrome,José Sánchez,Match Report,
Group stage,2,Tue,2022-09-13,21:00,Bayern Munich de,1.7,2–0,2.0,es Barcelona,75000,Allianz Arena,Danny Makkelie,Match Report,
Group stage,2,Wed,2022-09-14,18:45,Milan it,2.2,3–1,0.4,hr Dinamo Zagreb,61341,Stadio Giuseppe Meazza,Jesús Gil,Match Report,
Group stage,2,Wed,2022-09-14,19:45 (18:45),Shakhtar ua,0.4,1–1,1.5,sct Celtic,20697,Stadion Miejski Legii Warszawa im. Marsz...,Glenn Nyberg,Match Report,
Group stage,2,Wed,2022-09-14,20:00 (21:00),Rangers sct,1.3,0–3,3.5,it Napoli,50121,Ibrox Stadium,Antonio Matéu,Match Report,
Group stage,2,Wed,2022-09-14,20:00 (21:00),Chelsea eng,1.2,1–1,0.4,at RB Salzburg,38818,Stamford Bridge,Ivan Kružliak,Match Report,
Group stage,2,Wed,2022-09-14,20:00 (21:00),Manchester City eng,1.0,2–1,0.7,de Dortmund,50441,Etihad Stadium,Daniele Orsato,Match Report,
Group stage,2,Wed,2022-09-14,21:00,FC Copenhagen dk,0.7,0–0,0.8,es Sevilla,34910,Parken,Irfan Peljto,Match Report,
Group stage,2,Wed,2022-09-14,21:00,Juventus it,0.8,1–2,2.2,pt Benfica,34015,Allianz Stadium,Felix Zwayer,Match Report,
Group stage,2,Wed,2022-09-14,21:00,Real Madrid es,0.9,2–0,0.7,de RB Leipzig,54289,Estadio Santiago Bernabéu,Maurizio Mariani,Match Report,
Group stage,2,Wed,2022-09-14,22:00 (21:00),Maccabi Haifa il,1.0,1–3,1.8,fr Paris S-G,30412,Sammy Ofer Stadium,Daniel Siebert,Match Report,
Group stage,3,Tue,2022-10-04,18:45,Bayern Munich de,2.4,5–0,0.5,cz Viktoria Plzeň,75000,Allianz Arena,Nikola Dabanović,Match Report,
Group stage,3,Tue,2022-10-04,18:55,Marseille fr,2.5,4–1,0.4,pt Sporting CP,618,Orange Vélodrome,Davide Massa,Match Report,
Group stage,3,Tue,2022-10-04,20:00 (21:00),Liverpool eng,2.9,2–0,0.4,sct Rangers,49512,Anfield,Clément Turpin,Match Report,
Group stage,3,Tue,2022-10-04,20:00 (21:00),Porto pt,1.1,2–0,1.4,de Leverkusen,42399,Estádio Do Dragão,Anthony Taylor,Match Report,
Group stage,3,Tue,2022-10-04,21:00,Eint Frankfurt de,1.0,0–0,1.5,eng Tottenham,50500,Deutsche Bank Park,Daniele Orsato,Match Report,
Group stage,3,Tue,2022-10-04,21:00,Inter it,0.2,1–0,0.5,es Barcelona,71368,Stadio Giuseppe Meazza,Slavko Vinčič,Match Report,
Group stage,3,Tue,2022-10-04,21:00,Ajax nl,1.4,1–6,3.3,it Napoli,52896,Johan Cruyff ArenA,François Letexier,Match Report,
Group stage,3,Tue,2022-10-04,21:00,Club Brugge be,1.3,2–0,2.1,es Atlético Madrid,25667,Jan Breydelstadion,István Kovács,Match Report,
Group stage,3,Wed,2022-10-05,18:45,RB Leipzig de,2.2,3–1,0.9,sct Celtic,45228,Red Bull Arena,Espen Andreas Eskås,Match Report,
Group stage,3,Wed,2022-10-05,18:45,RB Salzburg at,2.2,1–0,0.7,hr Dinamo Zagreb,28864,Red Bull Arena,Andris Treimanis,Match Report,
Group stage,3,Wed,2022-10-05,20:00 (21:00),Chelsea eng,1.1,3–0,0.4,it Milan,39537,Stamford Bridge,Danny Makkelie,Match Report,
Group stage,3,Wed,2022-10-05,20:00 (21:00),Benfica pt,1.4,1–1,1.0,fr Paris S-G,62295,Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,
Group stage,3,Wed,2022-10-05,20:00 (21:00),Manchester City eng,4.3,5–0,0.4,dk FC Copenhagen,51765,Etihad Stadium,Donatas Rumšas,Match Report,
Group stage,3,Wed,2022-10-05,21:00,Real Madrid es,3.4,2–1,0.8,ua Shakhtar,56011,Estadio Santiago Bernabéu,Ivan Kružliak,Match Report,
Group stage,3,Wed,2022-10-05,21:00,Sevilla es,2.0,1–4,2.5,de Dortmund,34598,Estadio Ramón Sánchez Pizjuán,Maurizio Mariani,Match Report,
Group stage,3,Wed,2022-10-05,21:00,Juventus it,2.3,3–1,2.0,il Maccabi Haifa,28498,Allianz Stadium,Sandro Schärer,Match Report,
Group stage,4,Tue,2022-10-11,18:45,FC Copenhagen dk,0.3,0–0,1.6,eng Manchester City,35447,Parken,Artur Dias,Match Report,
Group stage,4,Tue,2022-10-11,19:45 (18:45),Maccabi Haifa il,0.8,2–0,0.5,it Juventus,30074,Sammy Ofer Stadium,Antonio Matéu,Match Report,
Group stage,4,Tue,2022-10-11,20:00 (21:00),Celtic sct,2.0,0–2,1.7,de RB Leipzig,57565,Celtic Park,Halil Umut Meler,Match Report,
Group stage,4,Tue,2022-10-11,21:00,Dortmund de,0.4,1–1,0.8,es Sevilla,81000,Signal Iduna Park,Srđan Jovanović,Match Report,
Group stage,4,Tue,2022-10-11,21:00,Paris S-G fr,1.2,1–1,1.2,pt Benfica,46435,Parc des Princes,Michael Oliver,Match Report,
Group stage,4,Tue,2022-10-11,21:00,Milan it,0.4,0–2,2.2,eng Chelsea,75051,Stadio Giuseppe Meazza,Daniel Siebert,Match Report,
Group stage,4,Tue,2022-10-11,21:00,Dinamo Zagreb hr,0.9,1–1,1.3,at RB Salzburg,20779,Stadion Maksimir,Tobias Stieler,Match Report,
Group stage,4,Tue,2022-10-11,22:00 (21:00),Shakhtar ua,0.5,1–1,1.1,es Real Madrid,29030,Stadion Miejski Legii Warszawa im. Marsz...,Orel Grinfeeld,Match Report,
Group stage,4,Wed,2022-10-12,18:45,Napoli it,3.2,4–2,1.6,nl Ajax,52229,Stadio Diego Armando Maradona,Felix Zwayer,Match Report,
Group stage,4,Wed,2022-10-12,18:45,Atlético Madrid es,2.3,0–0,0.6,be Club Brugge,60810,Estadio Cívitas Metropolitano,Danny Makkelie,Match Report,
Group stage,4,Wed,2022-10-12,20:00 (21:00),Sporting CP pt,0.3,0–2,2.8,fr Marseille,38126,Estádio José Alvalade,Alejandro Hernández,Match Report,
Group stage,4,Wed,2022-10-12,20:00 (21:00),Rangers sct,0.5,1–7,2.2,eng Liverpool,48820,Ibrox Stadium,Slavko Vinčič,Match Report,
Group stage,4,Wed,2022-10-12,20:00 (21:00),Tottenham eng,3.0,3–2,1.2,de Eint Frankfurt,55180,Tottenham Hotspur Stadium,Carlos del Cerro,Match Report,
Group stage,4,Wed,2022-10-12,21:00,Viktoria Plzeň cz,1.2,2–4,3.0,de Bayern Munich,11326,Doosan Arena,Bartosz Frankowski,Match Report,
Group stage,4,Wed,2022-10-12,21:00,Leverkusen de,2.2,0–3,1.8,pt Porto,30210,BayArena,István Kovács,Match Report,
Group stage,4,Wed,2022-10-12,21:00,Barcelona es,2.2,3–3,2.0,it Inter,92302,Camp Nou,Szymon Marciniak,Match Report,
Group stage,5,Tue,2022-10-25,18:45,Sevilla es,1.0,3–0,1.1,dk FC Copenhagen,29884,Estadio Ramón Sánchez Pizjuán,Benoît Bastien,Match Report,
Group stage,5,Tue,2022-10-25,18:45,RB Salzburg at,1.6,1–2,1.5,eng Chelsea,29520,Red Bull Arena,Sandro Schärer,Match Report,
Group stage,5,Tue,2022-10-25,20:00 (21:00),Benfica pt,3.3,4–3,2.4,it Juventus,60131,Estádio do Sport Lisboa e Benfica,Srđan Jovanović,Match Report,
Group stage,5,Tue,2022-10-25,20:00 (21:00),Celtic sct,1.4,1–1,0.8,ua Shakhtar,57478,Celtic Park,Serdar Gözübüyük,Match Report,
Group stage,5,Tue,2022-10-25,21:00,Paris S-G fr,2.6,7–2,0.8,il Maccabi Haifa,46435,Parc des Princes,Felix Zwayer,Match Report,
Group stage,5,Tue,2022-10-25,21:00,Dortmund de,1.2,0–0,1.2,eng Manchester City,81000,Signal Iduna Park,Davide Massa,Match Report,
Group stage,5,Tue,2022-10-25,21:00,RB Leipzig de,2.2,3–2,2.1,es Real Madrid,45228,Red Bull Arena,Daniele Orsato,Match Report,
Group stage,5,Tue,2022-10-25,21:00,Dinamo Zagreb hr,0.7,0–4,3.2,it Milan,20572,Stadion Maksimir,Szymon Marciniak,Match Report,
Group stage,5,Wed,2022-10-26,18:45,Club Brugge be,1.4,0–4,3.2,pt Porto,26144,Jan Breydelstadion,Michael Oliver,Match Report,
Group stage,5,Wed,2022-10-26,18:45,Inter it,3.2,4–0,0.1,cz Viktoria Plzeň,71849,Stadio Giuseppe Meazza,Andreas Ekberg,Match Report,
Group stage,5,Wed,2022-10-26,20:00 (21:00),Tottenham eng,1.7,1–1,0.8,pt Sporting CP,59588,Tottenham Hotspur Stadium,Danny Makkelie,Match Report,
Group stage,5,Wed,2022-10-26,21:00,Eint Frankfurt de,1.1,2–1,0.7,fr Marseille,48700,Deutsche Bank Park,Jesús Gil,Match Report,
Group stage,5,Wed,2022-10-26,21:00,Atlético Madrid es,2.6,2–2,1.5,de Leverkusen,63803,Estadio Cívitas Metropolitano,Clément Turpin,Match Report,
Group stage,5,Wed,2022-10-26,21:00,Barcelona es,0.7,0–3,2.1,de Bayern Munich,84016,Camp Nou,Anthony Taylor,Match Report,
Group stage,5,Wed,2022-10-26,21:00,Ajax nl,1.2,0–3,1.6,eng Liverpool,53327,Johan Cruyff ArenA,José Sánchez,Match Report,
Group stage,5,Wed,2022-10-26,21:00,Napoli it,1.8,3–0,0.7,sct Rangers,39835,Stadio Diego Armando Maradona,Halil Umut Meler,Match Report,
Group stage,6,Tue,2022-11-01,17:45 (18:45),Porto pt,2.7,2–1,0.8,es Atlético Madrid,47546,Estádio Do Dragão,Daniele Orsato,Match Report,
Group stage,6,Tue,2022-11-01,18:45,Leverkusen de,1.1,0–0,0.5,be Club Brugge,30210,BayArena,Maurizio Mariani,Match Report,
Group stage,6,Tue,2022-11-01,20:00 (21:00),Liverpool eng,2.4,2–0,0.4,it Napoli,52077,Anfield,Tobias Stieler,Match Report,
Group stage,6,Tue,2022-11-01,20:00 (21:00),Rangers sct,1.8,1–3,1.8,nl Ajax,48817,Ibrox Stadium,Glenn Nyberg,Match Report,
Group stage,6,Tue,2022-11-01,20:00 (21:00),Sporting CP pt,0.5,1–2,1.2,de Eint Frankfurt,41744,Estádio José Alvalade,Slavko Vinčič,Match Report,
Group stage,6,Tue,2022-11-01,21:00,Marseille fr,1.4,1–2,0.6,eng Tottenham,50768,Orange Vélodrome,Szymon Marciniak,Match Report,
Group stage,6,Tue,2022-11-01,21:00,Bayern Munich de,1.5,2–0,0.7,it Inter,75000,Allianz Arena,Ivan Kružliak,Match Report,
Group stage,6,Tue,2022-11-01,21:00,Viktoria Plzeň cz,2.6,2–4,2.3,es Barcelona,11258,Doosan Arena,Radu Petrescu,Match Report,
Group stage,6,Wed,2022-11-02,18:45,Real Madrid es,3.8,5–1,2.1,sct Celtic,52511,Estadio Santiago Bernabéu,Stéphanie Frappart,Match Report,
Group stage,6,Wed,2022-11-02,19:45 (18:45),Shakhtar ua,0.2,0–4,2.2,de RB Leipzig,26045,Stadion Miejski Legii Warszawa im. Marsz...,Michael Oliver,Match Report,
Group stage,6,Wed,2022-11-02,20:00 (21:00),Manchester City eng,2.0,3–1,0.4,es Sevilla,51610,Etihad Stadium,Orel Grinfeeld,Match Report,
Group stage,6,Wed,2022-11-02,20:00 (21:00),Chelsea eng,2.7,2–1,0.9,hr Dinamo Zagreb,39392,Stamford Bridge,François Letexier,Match Report,
Group stage,6,Wed,2022-11-02,21:00,FC Copenhagen dk,1.8,1–1,1.2,de Dortmund,31900,Parken,Əliyar Ağayev,Match Report,
Group stage,6,Wed,2022-11-02,21:00,Juventus it,1.6,1–2,0.5,fr Paris S-G,41089,Allianz Stadium,Carlos del Cerro,Match Report,
Group stage,6,Wed,2022-11-02,21:00,Milan it,1.8,4–0,1.6,at RB Salzburg,74292,Stadio Giuseppe Meazza,Antonio Matéu,Match Report,
Group stage,6,Wed,2022-11-02,22:00 (21:00),Maccabi Haifa il,1.6,1–6,1.5,pt Benfica,30464,Sammy Ofer Stadium,Anthony Taylor,Match Report,
Round of 16,,Tue,2023-02-14,21:00,Paris S-G fr,0.8,0–1,1.4,de Bayern Munich,46435,Parc des Princes,Michael Oliver,Match Report,Leg 1 of 2
Round of 16,,Tue,2023-02-14,21:00,Milan it,1.7,1–0,0.4,eng Tottenham,74320,Stadio Giuseppe Meazza,Sandro Schärer,Match Report,Leg 1 of 2
Round of 16,,Wed,2023-02-15,21:00,Dortmund de,1.5,1–0,2.1,eng Chelsea,81365,Signal Iduna Park,Jesús Gil,Match Report,Leg 1 of 2
Round of 16,,Wed,2023-02-15,21:00,Club Brugge be,0.2,0–2,2.9,pt Benfica,24136,Jan Breydelstadion,Davide Massa,Match Report,Leg 1 of 2
Round of 16,,Tue,2023-02-21,20:00 (21:00),Liverpool eng,1.8,2–5,1.6,es Real Madrid,52337,Anfield,István Kovács,Match Report,Leg 1 of 2
Round of 16,,Tue,2023-02-21,21:00,Eint Frankfurt de,0.4,0–2,2.8,it Napoli,47500,Deutsche Bank Park,Artur Dias,Match Report,Leg 1 of 2
Round of 16,,Wed,2023-02-22,21:00,RB Leipzig de,0.8,1–1,1.2,eng Manchester City,45228,Red Bull Arena,Serdar Gözübüyük,Match Report,Leg 1 of 2
Round of 16,,Wed,2023-02-22,21:00,Inter it,1.5,1–0,1.6,pt Porto,75374,Stadio Giuseppe Meazza,Srđan Jovanović,Match Report,Leg 1 of 2
Round of 16,,Tue,2023-03-07,20:00 (21:00),Chelsea eng,2.0,2–0,0.8,de Dortmund,38882,Stamford Bridge,Danny Makkelie,Match Report,Leg 2 of 2; Chelsea won
Round of 16,,Tue,2023-03-07,20:00 (21:00),Benfica pt,3.3,5–1,0.9,be Club Brugge,60960,Estádio do Sport Lisboa e Benfica,Halil Umut Meler,Match Report,Leg 2 of 2; Benfica won
Round of 16,,Wed,2023-03-08,20:00 (21:00),Tottenham eng,0.5,0–0,1.4,it Milan,61602,Tottenham Hotspur Stadium,Clément Turpin,Match Report,Leg 2 of 2; Milan won
Round of 16,,Wed,2023-03-08,21:00,Bayern Munich de,1.7,2–0,1.1,fr Paris S-G,75000,Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Bayern Munich won
Round of 16,,Tue,2023-03-14,20:00 (21:00),Porto pt,1.7,0–0,0.5,it Inter,48015,Estádio Do Dragão,Szymon Marciniak,Match Report,Leg 2 of 2; Inter won
Round of 16,,Tue,2023-03-14,20:00 (21:00),Manchester City eng,4.2,7–0,0.6,de RB Leipzig,52038,Etihad Stadium,Slavko Vinčič,Match Report,Leg 2 of 2; Manchester City won
Round of 16,,Wed,2023-03-15,21:00,Napoli it,2.7,3–0,1.1,de Eint Frankfurt,49082,Stadio Diego Armando Maradona,Anthony Taylor,Match Report,Leg 2 of 2; Napoli won
Round of 16,,Wed,2023-03-15,21:00,Real Madrid es,2.2,1–0,0.6,eng Liverpool,63127,Estadio Santiago Bernabéu,Felix Zwayer,Match Report,Leg 2 of 2; Real Madrid won
Quarter-finals,,Tue,2023-04-11,20:00 (21:00),Benfica pt,1.6,0–2,1.4,it Inter,62594,Estádio da Luz (1954),Michael Oliver,Match Report,Leg 1 of 2
Quarter-finals,,Tue,2023-04-11,20:00 (21:00),Manchester City eng,1.8,3–0,0.9,de Bayern Munich,52257,Etihad Stadium,Jesús Gil,Match Report,Leg 1 of 2
Quarter-finals,,Wed,2023-04-12,21:00,Real Madrid es,2.3,2–0,0.7,eng Chelsea,63142,Estadio Santiago Bernabéu,François Letexier,Match Report,Leg 1 of 2
Quarter-finals,,Wed,2023-04-12,21:00,Milan it,1.1,1–0,1.3,it Napoli,74742,Stadio Giuseppe Meazza,István Kovács,Match Report,Leg 1 of 2
Quarter-finals,,Tue,2023-04-18,20:00 (21:00),Chelsea eng,1.9,0–2,1.8,es Real Madrid,39453,Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won
Quarter-finals,,Tue,2023-04-18,21:00,Napoli it,2.2,1–1,2.0,it Milan,52728,Stadio Diego Armando Maradona,Szymon Marciniak,Match Report,Leg 2 of 2; Milan won
Quarter-finals,,Wed,2023-04-19,21:00,Bayern Munich de,2.2,1–1,1.3,eng Manchester City,75000,Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
Quarter-finals,,Wed,2023-04-19,21:00,Inter it,1.2,3–3,0.7,pt Benfica,75380,Stadio Giuseppe Meazza,Carlos del Cerro,Match Report,Leg 2 of 2; Inter won
Semi-finals,,Tue,2023-05-09,21:00,Real Madrid es,0.7,1–1,0.5,eng Manchester City,,Estadio Santiago Bernabéu,Artur Dias,Match Report,Leg 1 of 2
Semi-finals,,Wed,2023-05-10,21:00,Milan it,0.9,0–2,2.0,it Inter,75532,Stadio Giuseppe Meazza,Jesús Gil,Match Report,Leg 1 of 2
